Id,Title,Target
1722,Kosatka go brrrrrr,Non Critical
1785,I need help. I lost all my progress that i made yesterday.,Non Critical
1804,Xbox RP servers,Non Critical
1864,Why you dont jump out of an avenger when it's going downwards,Non Critical
1865,Flying bike,Non Critical
1866,Invite only? Nah I'm going to spawn in my Kosatka and immediately start Perico anyway so what's the difference?,Non Critical
1867,Humane Raid - Deliver EMP | Character looks so fed up after our 7th reset,Non Critical
1868,Are the GTA servers down rn?,Non Critical
1869,Super convenient,Non Critical
1870,Yall on about the revolver meanwhile I'm using a literal rustbucket,Non Critical
1887,Which one is better?,Non Critical
1888,What and how?,Non Critical
1889,A found a trick/ glitch using the heavy revolver and driving as a passenger.,Non Critical
1890,A Friendly 1v1 With a Clean Player... Rare,Non Critical
1891,Fun stunts and shenanigans from back in the day.,Non Critical
1892,I can't believe it. I won a car!,Non Critical
1893,First time this happened,Non Critical
1894,Olive green?,Non Critical
1895,I’m that one guy in a lobby who kills everyone-AMA,Non Critical
1896,"Could've gone for a hellfire, cliq or even dominator, but instead I chose the ruiner. Why? Cuz why not? For my first car I dedicated myself to make look cool, I think I did a decent job",Non Critical
1897,New personal best Cayo run,Non Critical
1898,I can't drop these alien guns,Non Critical
1899,Stole this car from some fuckin' nobody and shot his dog.,Non Critical
1900,"NPC's, out to run you over even before you spawn in",Non Critical
1901,Seriously does anyone bought it?,Non Critical
1902,Is the key for the cayo perico pistol still availible?,Non Critical
1903,I dont know why,Non Critical
1904,Missing vehicle workshop,Non Critical
1905,Out of my way little man,Non Critical
1906,Survival,Non Critical
1907,"I somehow glitched through the wall here. Maybe useful for something, I don´t really know.",Non Critical
1908,Make Airstrikes Great Again! 🇺🇸,Non Critical
1909,Smooth,Non Critical
1910,Kosatka Won’t Stay Submerged (Autopilot On),Non Critical
1911,What do you think of my 1920s gangster look,Non Critical
1912,After a failed casino heist I spawned in there.,Non Critical
1913,El Rubio has the lowest IQ of any drug lord,Non Critical
1914,GTA- Race N Chase(My first effort at making something with the Rockstar Editor),Non Critical
1915,"I just wanted to get in the damn rouge, not bust my ass three times in a row",Non Critical
1916,Pulled of this little stunt accidentally (first post btw),Non Critical
1917,Cant do heists,Non Critical
1918,Open Wheel Sponsor Tee,Non Critical
1919,Synchronized door opening,Non Critical
1920,"*Phones Lester* ""What Do You Need, Exactly?""",Non Critical
1921,We should be able to skip heist cutscenes if we already beat the heist,Non Critical
